database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy
ICMBIO_1,Chamaecrista incana (Vogel) H.S.Irwin & Barneby,-25.3830556,-51.5111111,RB01034852,10/12/2013,Brasil,Paraná,Guarapuava,"Rodovia BR-277, Campo em frente a concessionária Valtra-Shark.",NA,NA,NA,NA,NA
ICMBIO_2,Tridax procumbens L.,-12.2630556,-38.0416666,RB01357838,09/03/2016,Brasil,Bahia,Itanagra,Conglomerado BA__E-1-1-HE,NA,NA,NA,NA,NA
ICMBIO_3,Peperomia tetraphylla (G.Forst.) Hook. & Arn.,-20.9386111,-41.5444444,RB00821048,08/08/2013,Brasil,Espírito Santo,Mimoso do Sul,"Córrego do Jardim. Floresta de Pseudobombax, Nyctaginaceae, bromélias e aráceas, com tapete de musgos, sobre afloramento rochoso.",NA,NA,NA,NA,NA
ICMBIO_4,Oxalis psoraleoides ssp. insipida (A.St.-Hil.) Lourteig,-9.6783334,-36.9844444,RB00534750,14/11/2000,Brasil,Alagoas,Jaramataia,"Serra das Mãos, próximo à Vila Campestre e ao riacho Ribeira.",NA,NA,NA,NA,NA
ICMBIO_5,Xyris mucujensis Kral & L.B.Sm.,-13,-41.4,RB00636898,25/07/1979,Brasil,Bahia,Mucugê,"3km ao S de Mucugê, na estrada para Jussiape.",NA,NA,NA,NA,NA
ICMBIO_6,Groenbladia,-15.733889,-47.928611,43135,31/05/2009,Brasil,DF,Brasilia,Parque Nacional De Brasília,NA,NA,NA,NA,NA
ICMBIO_7,Byrsonima crispa,-16.504,-39.255,604662,14/10/2009,Brasil,BA,NA,Parque Nacional Do Pau Brasil,NA,NA,NA,NA,NA
ICMBIO_8,Paspalum multicaule Poir.,-12.9,-51.8666667,RB00525311,26/06/1968,Brasil,Mato Grosso,NA,"Base Camp of the Expedition, ca. 270 km N of Xavantina on the Xavantina - São Félix road.",NA,NA,NA,NA,NA
ICMBIO_9,Solanum megalochiton Mart.,-19.3513889,-40.5480555,RB00780705,19/04/2013,Brasil,Espírito Santo,Marilândia,"Localidade de Alto Liberdade. Pedra do Cruzeiro, Floresta alterada ao longo da escadaria para o topo do inselbergue.",NA,NA,NA,NA,NA
ICMBIO_10,Leiothrix curvifolia (Bong.) Ruhland,-18.9625,-43.7419444,RB00604869,24/11/2009,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Capela de São José, Trilha da Senhorinha, caminho a Congonhas do Norte.",NA,NA,NA,NA,NA
ICMBIO_11,Chrysophyllum inornatum Mart.,-27.3344444,-49.9422222,RB01138574,10/11/2008,Brasil,Santa Catarina,Pouso Redondo,Corruchel.,NA,NA,NA,NA,NA
ICMBIO_12,Mimosa paludosa Benth.,-13.6,-41.8333333,RB00164077,27/03/1977,Brasil,Bahia,NA,"Between 2,5 and 5km S. of the Vila do Rio de Contas on side road to W. of the road to livramento, leading to the Rio Brumado.",NA,NA,NA,NA,NA
ICMBIO_13,Senegalia visco (Lorentz ex Griseb.) Seigler & Ebinger,-18.3055556,-64.1319445,RB01017117,13/08/2014,Bolívia,Santa Cruz,NA,~2km E of El Trigal on dirt track off road to Vallegrande.,NA,NA,NA,NA,NA
ICMBIO_14,Myrsine umbellata,-22.456917,-44.609611,909060,25/11/2014,Brasil,RJ,NA,Parque Nacional De Itatiaia,NA,NA,NA,NA,NA
ICMBIO_15,Swartzia simplex var. continentalis Urb.,-20.2425,-42.0197223,RB00521071,10/12/2007,Brasil,Espírito Santo,Santa Leopoldina,"Cachoeira do Mochafongo, Sítio Mochafongo. Arbusto 5m, tronco castanho-escuro, beira da cachoeira, solo rochoso, local com alta incidência de sol.",NA,NA,NA,NA,NA
ICMBIO_16,Tephrosia,-9.8497222,-52.4047222,RB00622100,11/03/2011,Brasil,Mato Grosso,São José do Xingu,"Fazenda Santa Filipina, a 20-40 km da Faz. Najá, zona de amortecimento do Parque Estadual do Xingu.",NA,NA,NA,NA,NA
ICMBIO_17,Solanum stenandrum Sendtn.,-51,-41.3166667,RB00467865,12/02/1977,Brasil,Bahia,NA,"8 km South of Andarai on road to mucugê by bridge over small river, just North of turning to Itaeté.",NA,NA,NA,NA,NA
ICMBIO_18,Marcetia latifolia Naudin,-11.6333333,-41.0333333,RB00238744,30/05/1980,Brasil,Piauí,Morro do Chapéu do Piauí,"Rio do Ferro Doido, 19,5 km S.E. of Morro do Chapéu on the BA 052 highway to Mundo Novo, with water-worn.",NA,NA,NA,NA,NA
ICMBIO_19,Clusia nemorosa G.Mey.,-8.28,-34.9541667,RB00574427,24/08/2007,Brasil,Pernambuco,Cabo de Santo Agostinho,"Itapuama, engenho Camaçari.",NA,NA,NA,NA,NA
ICMBIO_20,Bertholletia excelsa,-10.855507,-68.700395,458788,31/03/2013,Brasil,AC,NA,Reserva Extrativista Chico Mendes,NA,NA,NA,NA,NA
IDIGBIO_1,Arthrocardia gardineri,NA,NA,3db83402-7892-4ede-b87e-bd6f18941f03,NA,Brasil,Espírito Santo,NA,NA,NA,PreservedSpecimen,NA,NA,"Kanagawa, AI"
IDIGBIO_2,Sida galheirensis Ulbr.,NA,NA,bfeb6da3-2676-49df-9cc0-63bc9b439b98,18/04/1971,Brasil,Pernambuco,NA,Arredores da cidade.,NA,PreservedSpecimen,M.G. Bovini,NA,Academia Brasileira de Ciências
IDIGBIO_3,Holocheilus brasiliensis (L.) Cabrera,NA,NA,e600439c-01d6-4aa3-8875-92e2dfa01a0f,1901-11-12,Brazil,Rio Grande do Sul,NA,Plantae Itineris Regnelliani IIdi Brasiliae civit. Rio Grande do Sul: Povo Novo pr. Pelotas,NA,preservedspecimen,NA,NA,Gust. O. A:n Malme
IDIGBIO_4,Solanum decompositiflorum,NA,NA,b1fb4bdc-e7e3-4266-8b7e-ebaf59dff76c,NA,Brasil,Distrito Federal,NA,"Fazenda Sucupira, mata próxima dos experimentos do. Mata de galeria. Relevo levemente inclinado. Solo com boa camada d eserrapilheira",NA,PreservedSpecimen,"Gouvêa, YF",NA,"Santos, AA; Pereira, JB; Oliveira, RC; Alves, AF; Carvalho-Silva, M"
IDIGBIO_5,Coussarea acrensis C.M. Taylor,-10.0666667,-67.5666667,7e4df881-f532-4818-8d26-37984e804c5d,NA,Brazil,Acre,NA,"Senador Guiomard; Fazenda Experimental Catauba, 27km from RIo Branco on road BR-364 to Porto Velho",NA,PreservedSpecimen,"C.M. Taylor, Paratype",NA,Piero G. Delprete|M. Oliveira
IDIGBIO_6,Stenocline chionaea,NA,NA,30acef7a-5fe5-4092-9b0d-455ec24d02eb,NA,Brazil,Minas Gerais,NA,"Serra do Cipó Km 108-109, Rodovia, Cerro.",NA,PreservedSpecimen,NA,NA,"Lewinsohn, TM; Martins, RP"
IDIGBIO_7,Paspalum eucomum Nees ex Trin.,NA,NA,dba43752-a729-4d31-a9e2-59b9699a1bff,NA,Brazil,Minas Gerais,NA,"Serra do Cipó (110km Northeast of Bello Horizonte), Minas Gerais. Stony campo between Lagoa Santa",NA,PreservedSpecimen,Morrone & Zuloaga,NA,Agnes Chase
IDIGBIO_8,NA,-9.566469,-36.422006,e1ed3ca5-6470-45e4-a760-bd7e09cca153,NA,Brasil,Alagoas,NA,RPPN Santa Fé.,NA,PreservedSpecimen,NA,NA,M.C.S.Mota
IDIGBIO_9,Miconia minutiflora,NA,NA,bfe7a023-80a5-4f09-87b7-5119274dac2b,NA,Brasil,Minas Gerais,NA,"Estrada para Mata da Zilda, Estação Ambiental Galheiro",NA,PreservedSpecimen,"Romero, R",NA,"Mendes, S"
IDIGBIO_10,Peltophorum dubium (Spreng.) Taub.,NA,NA,a9533fe0-b92d-4375-9835-961ae798d4c4,2004-04-30,Brazil,Rio de Janeiro,Araruama,Morro das Canelas,NA,PreservedSpecimen,NA,NA,R. D. Ribeiro
IDIGBIO_11,Crotalaria,-23.416667,-51.95,01bdd102-de56-4b29-9631-57dbf0eb4df4,NA,Brasil,Paraná,NA,"distrito de Iguatemi, Campus UEM, Fazenda Experime",NA,PreservedSpecimen,NA,NA,G.C.Mantovanelli; F.A.Rios
IDIGBIO_12,Rudgea cornifolia (Kunth.) Standl.,NA,NA,87f72c1b-eefa-477c-9bc0-c90649f98f2a,1965-10-28,Brazil,Pará,NA,"Brazil. State of Pará. Road BR 22, Capanema to Maranhão. Banks of Rio Piria, north of Km. 90.",NA,preservedspecimen,NA,NA,G.T. Prance & T.D. Pennington
IDIGBIO_13,Butia paraguayensis,NA,NA,f271405a-1354-4bdc-9f63-ef581824c9bc,NA,Brasil,São Paulo,NA,Fazenda Campininha.,NA,PreservedSpecimen,NA,NA,"Botânico, MP"
IDIGBIO_14,Mendoncia coccinea,NA,NA,154ea2f4-c94f-4316-8062-b6485507e317,NA,Brazil,Paraná,NA,"Ilha do Mel, Encantadas",NA,PreservedSpecimen,"Silva, S.M.",NA,"Britez, R.M."
IDIGBIO_15,Ocotea laxa (Nees) Mez,-25.4769,-48.8342,775655fa-be84-4db2-b9f1-ab1b93afed07,1971-01-19,Brazil,Paraná,Morretes,"Serra Marumbi, picada ao Olimpo",NA,PreservedSpecimen,NA,30514,G. G. Hatschbach
IDIGBIO_16,Solanum paniculatum L.,-11,-42,dcba12d7-0f73-46b1-8edd-21e72c0182e9,1980-04-19,Brazil,Bahia,NA,NA,NA,PreservedSpecimen,RRC ID Flag,NA,R. Harley
IDIGBIO_17,Heteropterys rhopalifolia,NA,NA,0cbc91a0-d67e-4c12-8962-569312ba356f,NA,Brasil,Mato Grosso do Sul,NA,Reserva da área da Prefeitura.,NA,PreservedSpecimen,C.Pessoa,NA,"Snak, C."
IDIGBIO_18,Hieracium commersonii Monnier,NA,NA,23cc095f-8d3a-4155-9289-04ae8aae45a6,10/11/1951,Brasil,Paraná,NA,Rio do Salto.,NA,PreservedSpecimen,Graziela,NA,G.Hatschbach
IDIGBIO_19,Clidemia epiphytica (Triana) Cogn.,-4.696879,-69.5048332,d41300b6-eb71-4a99-bdfe-717c093616b1,1936-09-11/1936-10-26,Brazil,Amazonas,São Paulo de Olivença,Near Palmares. Basin of Rio Solimoes.,NA,PreservedSpecimen,F. A. Michelangeli,201650,B. A. Krukoff
IDIGBIO_20,Chaptalia integerrima,NA,NA,3424cbc2-f52c-41d7-8a89-3f34b79603b0,NA,Brasil,RS,NA,Ijuisinho,NA,PreservedSpecimen,Emrich-Rambo,NA,"Rambo, B."
NEOTROPTREE_1,Amaioua guianensis,-8.72444444444444,-35.1752777777778,AtlPE022,NA,Brasil,NA,NA,"Tamandaré, Saltinho, floresta pluvial",NA,NA,NA,NA,NA
NEOTROPTREE_2,Matayba intermedia,-22.9294444444444,-42.9794444444444,AtlRJ033,NA,Brasil,NA,NA,"Niterói, Serra da Tiririca, floresta pluvial",NA,NA,NA,NA,NA
NEOTROPTREE_3,Pagamea coriacea,-0.145833333333333,-66.9733333333333,AmzAM103,NA,Brasil,NA,NA,"Itacoatiara-Mirim, nanofloresta de areias brancas",NA,NA,NA,NA,NA
NEOTROPTREE_4,Senna velutina,-13.405,-55.5744444444444,CerMT027,NA,Brasil,NA,NA,"Lucas do Rio Verde, cerrado",NA,NA,NA,NA,NA
NEOTROPTREE_5,Myrsine umbellata,-23.8686111111111,-53.8466666666667,AtlPR129,NA,Brasil,NA,NA,"Altônia, floresta semidecídua",NA,NA,NA,NA,NA
NEOTROPTREE_6,Compsoneura ulei,-8.13777777777778,-63.6194444444444,AmzRO032,NA,Brasil,NA,NA,"Porto Velho, Calama, savana arborizada brejosa",NA,NA,NA,NA,NA
NEOTROPTREE_7,Cyathea corcovadensis,-23.8136111111111,-45.4675,AtlSP016,NA,Brasil,NA,NA,"São Sebastião, floresta pluvial",NA,NA,NA,NA,NA
NEOTROPTREE_8,Myrciaria dubia,-3.28388888888889,-59.4844444444444,AmzAM223,NA,Brasil,NA,NA,"Careiro da Várzea, Paraná do Autaz-Mirim, floresta inundável de água negra",NA,NA,NA,NA,NA
NEOTROPTREE_9,Alchornea triplinervia,-24.5705555555556,-48.6163888888889,AtlSP032,NA,Brasil,NA,NA,"Iporanga, floresta pluvial",NA,NA,NA,NA,NA
