database_id,occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,family,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,taxonRank,identifiedBy,coordinateUncertaintyInMeters,recordedBy,cntr_suggested,cntr_iso2c,decimalLongitude_modified,decimalLatitude_modified,iso2c,iso3c,.xy_issue
AT_EPIPHYTES_1543,NA,Rhipsalis cereuscula,-27,-54.21667,NA,Cactaceae,Argentina,MISIONES,GUARANI,Reserva de Uso Multiple Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1649,NA,Pecluma filicula,-27.18333,-54.95,NA,Polypodiaceae,Argentina,MISIONES,CAINGUAS,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1709,NA,Polystachya concreta,-25.96667,-54.1,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,"Parque Provincial Urugua-i, Deseado, nacientes del Arroyo Tateto",NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1780,NA,Pleopeltis hirsutissima,-26.66563,-53.94346,NA,Polypodiaceae,Argentina,MISIONES,SAN PEDRO,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1808,NA,Sanderella riograndensis,-26.86763,-54.39345,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1814,NA,Pecluma singeri,-27,-54.21667,NA,Polypodiaceae,Argentina,MISIONES,GUARANI,Predio Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1816,NA,Rhipsalis floccosa,-26.2,-53.66666,NA,Cactaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,Salto Andresito,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1833,28,Rumohra adiantiformis,-32.24636111,-53.74527778,2013,Dryopteridaceae,Uruguay,CERRO LARGO,CERRO LARGO,Sierra de Rios,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1840,NA,Vriesea friburgensis,-25.68109,-54.456762,NA,Bromeliaceae,Argentina,MISIONES,IGUAZU,Parque Nacional Iguazu,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2083,55,Microgramma vacciniifolia,-32.14493889,-53.743675,2013,Polypodiaceae,Uruguay,CERRO LARGO,CERRO LARGO,Rio Yaguaron,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2216,NA,Peperomia corcovadensis,-27,-54.21667,NA,Piperaceae,Argentina,MISIONES,GUARANI,Predio Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2263,NA,Pleopeltis minima,-26.86763,-54.39345,NA,Polypodiaceae,Argentina,MISIONES,IGUAZU,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2299,NA,Cyclopogon congestus,-27.13333,-53.95,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,"Colonia Manuel Belgrano, Campo Experimental Forestal",NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2343,NA,Eurystyles actinosophila,-25.6,-53.9833,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2397,E103,Zygopetalum maxillare,-27,-54.216667,2012,Orchidaceae,Argentina,MISIONES,GUARANI,Guarani Forestal Reserve,Forest fragment,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2525,NA,Octomeria warmingii,-25.60986,-54.57084,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2628,NA,Cyclopogon congestus,-26.5,-53.83333,NA,Orchidaceae,Argentina,MISIONES,SAN PEDRO,Pinalito,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2647,NA,Pleopeltis hirsutissima,-27.12328,-54.80042,NA,Polypodiaceae,Argentina,MISIONES,CAINGUAS,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2679,NA,Campyloneurum austrobrasilianum,-26.66563,-53.94346,NA,Polypodiaceae,Argentina,MISIONES,SAN PEDRO,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2844,NA,Sinningia douglasii,-27,-54.21667,NA,Gesneriaceae,Argentina,MISIONES,GUARANI,Reserva de Uso Multiple Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2971,NA,Campyloneurum austrobrasilianum,-26.689330000000002,-54.21259,NA,Polypodiaceae,Argentina,MISIONES,SAN PEDRO,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2973,NA,Peperomia martiana,-26.83333,-54.03333,NA,Piperaceae,Argentina,MISIONES,SAN PEDRO,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_2990,NA,Capanemia micromera,-25.68109,-54.456762,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,Parque Nacional Iguazu,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3029,NA,Vriesea platynema,-26.66563,-53.94346,NA,Bromeliaceae,Argentina,MISIONES,SAN PEDRO,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3033,NA,Miltonia flavescens,-25.68109,-54.456762,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,Parque Nacional Iguazu,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3051,NA,Campylocentrum aromaticum,-27.0666,-55.08333,NA,Orchidaceae,Argentina,MISIONES,CANDELARIA,Campo San Juan,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3120,NA,Campyloneurum nitidum,-27.12328,-54.80042,NA,Polypodiaceae,Argentina,MISIONES,CAINGUAS,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3243,NA,Cyrtopodium palmifrons,-26.46667,-53.96667,2013,Orchidaceae,Argentina,MISIONES,SAN PEDRO,Parque Cruce Caballero,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3282,NA,Campyloneurum atlanticum,-26.88136,-54.53657,NA,Polypodiaceae,Argentina,MISIONES,NA,NA,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3298,NA,Pabstiella matinhensis,-26.66563,-53.94346,NA,Orchidaceae,Argentina,MISIONES,SAN PEDRO,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3571,NA,Rhipsalis floccosa,-27.12328,-54.80042,NA,Cactaceae,Argentina,MISIONES,CAINGUAS,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3632,NA,Vriesea friburgensis,-26.46667,-53.96667,2013,Bromeliaceae,Argentina,MISIONES,SAN PEDRO,Parque Cruce Caballero,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3722,NA,Pecluma sicca,-26.46667,-53.96667,2013,Polypodiaceae,Argentina,MISIONES,SAN PEDRO,Parque Cruce Caballero,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3731,NA,Aechmea recurvata,-26.88861,-54.90778,NA,Bromeliaceae,Argentina,MISIONES,LIBERTADOR GENERAL SAN MARTIN,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3770,NA,Peperomia corcovadensis,-26.34581,-54.15181,NA,Piperaceae,Argentina,MISIONES,EL DORADO,Paraje Pozo Azul,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_3830,E0023,Grandiphyllum divaricatum,-26.519551,-53.991776,2005,Orchidaceae,Argentina,MISIONES,SAN PEDRO,Parque Provincial Cruce Caballero,Forest fragment,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4097,NA,Cyclopogon congestus,-27.05,-55.08333,NA,Orchidaceae,Argentina,MISIONES,CANDELARIA,Loreto,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4104,126,Microgramma squamulosa,-33.99011111,-53.74463889,2012,Polypodiaceae,Uruguay,ROCHA,ROCHA,Laguna Negra,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4139,NA,Pabstiella aveniformis,-27,-54.21667,NA,Orchidaceae,Argentina,MISIONES,GUARANI,Reserva de Uso Multiple Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4230,NA,Peperomia tetraphylla,-26.46667,-53.96667,2013,Piperaceae,Argentina,MISIONES,SAN PEDRO,Parque Cruce Caballero,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4233,NA,Zygopetalum maxillare,-26.66563,-53.94346,NA,Orchidaceae,Argentina,MISIONES,SAN PEDRO,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4238,NA,Niphidium rufosquamatum,-26.86763,-54.39345,NA,Polypodiaceae,Argentina,MISIONES,IGUAZU,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4259,NA,Cyclopogon congestus,-25.68109,-54.456762,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,Parque Nacional Iguazu,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4273,NA,Acianthera klotzschiana,-25.96667,-54.1,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,"Parque Provincial Urugua-i, Nacientes Arroyo Tateto",NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4282,NA,Pecluma pectinatiformis,-25.6797,-54.1987,NA,Polypodiaceae,Argentina,MISIONES,IGUAZU,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4363,E044,Campyloneurum atlanticum,-26.591667,-54.003333,2012,Polypodiaceae,Argentina,MISIONES,SAN PEDRO,Cruce Caballero Provincial Park,Forest fragment,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4423,33,Peperomia psilostachya,-32.07808333,-53.76791667,2013,Piperaceae,Uruguay,CERRO LARGO,CERRO LARGO,Rio Yaguaron,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4629,NA,Christensonella paranaensis,-26.6061,-53.7408,NA,Orchidaceae,Argentina,MISIONES,SAN PEDRO,Paraje Rosales,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4759,NA,Octomeria warmingii,-25.96667,-54.1,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,"Parque Prov. Urugua-i, nacientes Arroyo Tateto",NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4883,231,Campyloneurum nitidum,-31.13212833,-55.91028667,2013,Polypodiaceae,Uruguay,RIVERA,RIVERA,A Rubio Chico,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4884,NA,Acanthostachys strobilacea,-25.6052,-54.5745,NA,Bromeliaceae,Argentina,MISIONES,IGUAZU,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4896,NA,Pleopeltis pleopeltifolia,-27.426931,-55.946706,NA,Polypodiaceae,Argentina,MISIONES,CAINGUAS,NA,Municipality,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4968,NA,Octomeria chamaeleptotes,-26.4,-53.8167,NA,Orchidaceae,Argentina,MISIONES,SAN PEDRO,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_4998,NA,Vriesea friburgensis,-25.98194,-53.96904,NA,Bromeliaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5089,NA,Gomesa brieniana,-26.46667,-53.96667,NA,Orchidaceae,Argentina,MISIONES,SAN PEDRO,Parque Provincial Cruce Caballero,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5092,E021,Pleopeltis pleopeltifolia,-26.616667,-54.1,2012,Polypodiaceae,Argentina,MISIONES,SAN PEDRO,San Pedro,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5160,NA,Octomeria chamaeleptotes,-26.5,-53.83333,NA,Orchidaceae,Argentina,MISIONES,SAN PEDRO,Pinalito,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5250,NA,Zygostates alleniana,-25.68109,-54.456762,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,Parque Nacional Iguazu,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5367,NA,Pleopeltis minima,-27.16666,-54.95,2006,Polypodiaceae,Argentina,MISIONES,CAINGUAS,Reserva Cuna Piru,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5402,NA,Octomeria warmingii,-25.8542,-54.17066,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,"P. P. Urugua-i, Nascents arroyo Tateto",NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5441,NA,Christensonella neowiedii,-27,-54.21667,NA,Orchidaceae,Argentina,MISIONES,GUARANI,Predio Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5526,NA,Pecluma sicca,-25.96667,-54.1,NA,Polypodiaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,Parque Provincial Urugua-i,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5574,NA,Isabelia virginalis,-25.98194,-53.96904,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5624,NA,Niphidium rufosquamatum,-26.88136,-54.53657,NA,Polypodiaceae,Argentina,MISIONES,NA,NA,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5643,NA,Acianthera hatschbachii,-27.01666,-54.13333,NA,Orchidaceae,Argentina,MISIONES,CAINGUAS,Salto Encantado,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5666,NA,Pleopeltis hirsutissima,-25.98194,-53.96904,NA,Polypodiaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5860,NA,Miltonia flavescens,-26.46667,-53.96667,2013,Orchidaceae,Argentina,MISIONES,SAN PEDRO,Parque Cruce Caballero,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5885,NA,Cyclopogon congestus,-25.92221,-54.61578,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,"Puerto Bemberg, arroyo Guatambu",NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5900,NA,Anathallis microphyta,-27,-54.21667,NA,Orchidaceae,Argentina,MISIONES,GUARANI,Reserva de Uso Multiple Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5949,NA,Christensonella paranaensis,-25.8542,-54.17066,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,"P. P. Urugua-i, Nacientes arroyo Tateto",NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_5960,NA,Pleopeltis minima,-26.15,-54.03333,NA,Polypodiaceae,Argentina,MISIONES,GUARANI,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6111,NA,Acianthera macuconensis,-25.68109,-54.456762,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,"Parque Nacional Iguazu, Area Cataratas, camino a Puerto Canoas",NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6209,NA,Aechmea distichantha,-27.12328,-54.80042,NA,Bromeliaceae,Argentina,MISIONES,CAINGUAS,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6244,NA,Rhipsalis cereuscula,-26.97751,-54.26268,NA,Cactaceae,Argentina,MISIONES,GUARANI,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6286,214,Lepismium lumbricoides,-30.942575,-55.64553556,2013,Cactaceae,Uruguay,RIVERA,RIVERA,Rio Tacuarembo,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6346,69,Microgramma squamulosa,-34.4325,-53.85388889,2012,Polypodiaceae,Uruguay,ROCHA,ROCHA,Costa de Oro de Rocha - Cabo Polonio,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6353,E0009,Gomesa riograndensis,-26.519551,-53.991776,2005,Orchidaceae,Argentina,MISIONES,SAN PEDRO,Parque Provincial Cruce Caballero,Forest fragment,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6477,NA,Rhipsalis floccosa,-27,-54.21667,NA,Cactaceae,Argentina,MISIONES,GUARANI,Reserva de Uso Multiple Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6672,12,Tillandsia stricta,-32.2465,-53.78324722,2013,Bromeliaceae,Uruguay,CERRO LARGO,CERRO LARGO,Sierra de Rios,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6776,NA,Cattleya cernua,-26.46766,-53.89464,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,NA,Municipality,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6903,NA,Rhipsalis cereuscula,-26.46667,-53.96667,2013,Cactaceae,Argentina,MISIONES,SAN PEDRO,Parque Cruce Caballero,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_6950,E076,Asplenium auritum,-26.896583,-53.880556,2012,Aspleniaceae,Argentina,MISIONES,SAN PEDRO,Esmeralda Provincial Park,Forest fragment,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_7159,NA,Gomesa recurva,-26.4,-53.8167,NA,Orchidaceae,Argentina,MISIONES,SAN PEDRO,El Pinalito,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_7198,NA,Pecluma filicula,-27.51816,-55.1581,NA,Polypodiaceae,Argentina,MISIONES,OBERA,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_7217,127,Tillandsia usneoides,-34.27194444,-53.98972222,2012,Bromeliaceae,Uruguay,ROCHA,ROCHA,Laguna de Castillos,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_7384,NA,Pecluma sicca,-27.426931,-55.946706,NA,Polypodiaceae,Argentina,MISIONES,SAN PEDRO,NA,Municipality,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_7629,NA,Peperomia corcovadensis,-26.69,-54.20643,NA,Piperaceae,Argentina,MISIONES,SAN PEDRO,Paraje Paraiso,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_7659,NA,Miltonia flavescens,-26.86763,-54.39345,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_7882,NA,Lepismium houlletianum,-26.97751,-54.26268,NA,Cactaceae,Argentina,MISIONES,GUARANI,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_7930,NA,Lepismium cruciforme,-26.66563,-53.94346,NA,Cactaceae,Argentina,MISIONES,SAN PEDRO,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_7975,NA,Microgramma lindbergii,-26.86763,-54.39345,NA,Polypodiaceae,Argentina,MISIONES,IGUAZU,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
